Name,Height,Weight,Age,Sex,Profession,Salary,Height_indicator,Weight_indicator,Apartments_count
Тарасов Яков,191.0,57.0,74,м,студент,59000,0,0,0
Фомин Моисей,171.0,72.0,85,м,автослесарь,257000,0,0,1
Лобанов Василий,182.0,71.38074499154582,62,м,сантехник,263000,0,1,0
Маслов Кирилл,175.0,71.38074499154582,48,м,инженер,325000,0,1,0
Гришин Еремей,176.0,95.0,49,м,программист,30000,0,0,0
Моисеев Савелий,175.0,113.0,53,м,программист,256000,0,0,0
Симонов Илларион,178.0,56.0,50,м,сантехник,321000,0,0,1
Кудрявцев Леонид,170.0,54.0,55,м,врач,186000,0,0,2
Сергеев Рустам,190.0,101.0,83,м,сантехник,132000,0,0,2
Нестеров Антон,193.0,88.0,47,м,сантехник,428000,0,0,0
Котов Парамон,167.0,71.38074499154582,53,м,программист,420000,0,1,1
Ефремов Евстахий,180.0,50.0,39,м,бухгалтер,316000,0,0,0
Виноградов Георгий,183.0,92.0,70,м,программист,393000,0,0,0
Лебедев Вадим,176.0,59.0,24,м,автослесарь,346000,0,0,0
Воронов Арсений,183.0,67.0,38,м,инженер,184000,0,0,0
Коновалов Евгений,176.0,94.0,79,м,продавец,374000,0,0,0
Макаров Спартак,183.0,98.0,72,м,преподаватель,404000,0,0,0
Давыдов Ренат,174.0,118.0,26,м,бухгалтер,128000,0,0,0
Бобылёв Иеремия,178.0,104.0,77,м,программист,86000,0,0,0
Мухин Терентий,177.0,92.0,39,м,сантехник,404000,0,0,0
Осипов Артемий,175.0,58.0,33,м,автослесарь,131000,0,0,0
Вишняков Давыд,190.0,87.0,88,м,инженер,340000,0,0,0
Трофимов Фома,180.0,54.0,65,м,программист,143000,0,0,0
Игнатов Вячеслав,176.0,100.0,76,м,студент,50000,0,0,0
Кошелев Савва,165.0,61.0,43,м,преподаватель,180000,0,0,0
Егоров Олег,186.0,58.0,19,м,продавец,87000,0,0,0
Стрелков Эльдар,171.0,82.0,26,м,преподаватель,334000,0,0,1
Беляев Станислав,177.0,50.0,43,м,сантехник,10000,0,0,0
Сидоров Дмитрий,193.0,99.0,21,м,автослесарь,261000,0,0,1
Денисов Тимофей,187.0,71.38074499154582,43,м,сантехник,407000,0,1,1
Шестаков Кузьма,169.0,118.0,36,м,студент,66000,0,0,0
Антонов Евгений,171.0,56.0,64,м,преподаватель,129000,0,0,0
Рогов Герман,190.0,111.0,52,м,продавец,428000,0,0,1
Сидоров Никола,187.0,51.0,88,м,программист,34000,0,0,1
Гущин Никита,169.0,60.0,55,м,инженер,362000,0,0,0
Ситников Тимофей,185.0,97.0,67,м,инженер,84000,0,0,0
Ширяев Федот,186.0,66.0,70,м,инженер,54000,0,0,1
Блинов Влас,189.0,98.0,29,м,продавец,474000,0,0,0
Титов Агафон,182.0,91.0,60,м,продавец,408000,0,0,0
Королёв Пётр,190.0,69.0,33,м,сантехник,79000,0,0,0
Симонов Леонтий,190.0,111.0,69,м,преподаватель,458000,0,0,0
Гусев Марат,168.0,85.0,55,м,программист,42000,0,0,0
Маслов Бронислав,192.0,85.0,89,м,бухгалтер,376000,0,0,2
Николаев Роман,174.0,108.0,85,м,сантехник,442000,0,0,1
Данилов Константин,189.0,89.0,84,м,преподаватель,247000,0,0,0
Самойлов Серафим,165.0,63.0,77,м,сантехник,451000,0,0,1
Дорофеев Еремей,194.0,67.0,38,м,сантехник,461000,0,0,0
Селезнёв Никон,190.0,68.0,50,м,преподаватель,55000,0,0,1
Борисов Серафим,172.0,79.0,31,м,бухгалтер,194000,0,0,1
Тетерин Севастьян,179.0,102.0,38,м,инженер,301000,0,0,0
Владимиров Аполлон,186.0,71.38074499154582,40,м,инженер,472000,0,1,1
Лыткин Степан,190.0,109.0,49,м,бухгалтер,403000,0,0,0
Корнилов Альберт,181.0,65.0,18,м,бухгалтер,289000,0,0,0
Блохин Данил,174.52731681034481,86.0,87,м,программист,363000,1,0,2
Шаров Бронислав,175.0,76.0,27,м,автослесарь,339000,0,0,0
Зайцев Иеремия,189.0,77.0,38,м,программист,59000,0,0,0
Тарасов Влас,194.0,72.0,46,м,инженер,394000,0,0,0
Щербаков Назар,167.0,95.0,29,м,программист,190000,0,0,0
Гурьев Касьян,175.0,72.0,27,м,программист,243000,0,0,1
Николаев Иннокентий,171.0,87.0,27,м,программист,151000,0,0,0
Белов Ринат,170.0,114.0,85,м,продавец,258000,0,0,0
Сазонов Моисей,165.0,85.0,30,м,автослесарь,224000,0,0,0
Блинов Осип,181.0,68.0,85,м,продавец,402000,0,0,0
Анисимов Фома,176.0,78.0,61,м,студент,469000,0,0,0
Дорофеев Чарли,174.52731681034481,113.0,25,м,бухгалтер,466000,1,0,0
Горшков Илларион,194.0,79.0,76,м,продавец,311000,0,0,0
Горбунов Альберт,183.0,100.0,80,м,инженер,441000,0,0,0
Беляев Булат,173.0,109.0,70,м,программист,104000,0,0,0
Некрасов Богдан,173.0,84.0,77,м,автослесарь,209000,0,0,0
Котов Демьян,178.0,118.0,83,м,бухгалтер,432000,0,0,0
Ковалёв Арсентий,181.0,109.0,53,м,инженер,331000,0,0,1
Комаров Остап,172.0,73.0,49,м,программист,111000,0,0,0
Владимиров Павел,188.0,63.0,35,м,студент,207000,0,0,1
Харитонов Кир,186.0,53.0,77,м,инженер,121000,0,0,0
Кудряшов Филат,168.0,92.0,71,м,врач,265000,0,0,1
Игнатов Ростислав,170.0,56.0,38,м,автослесарь,424000,0,0,0
Носков Вилен,187.0,71.38074499154582,81,м,сантехник,424000,0,1,0
Якушев Радослав,174.0,77.0,35,м,бухгалтер,43000,0,0,0
Буров Богдан,189.0,54.0,52,м,врач,105000,0,0,1
Пахомов Август,180.0,84.0,62,м,преподаватель,94000,0,0,0
Силин Вениамин,174.0,97.0,33,м,сантехник,181000,0,0,0
Матвеев Захар,175.0,64.0,55,м,программист,475000,0,0,0
Кузнецов Семён,193.0,82.0,58,м,продавец,87000,0,0,0
Шарапов Эдуард,176.0,91.0,51,м,автослесарь,499000,0,0,1
Данилов Глеб,170.0,92.0,68,м,бухгалтер,313000,0,0,0
Ершов Леонтий,169.0,88.0,46,м,автослесарь,237000,0,0,1
Константинов Илларион,171.0,107.0,24,м,сантехник,186000,0,0,0
Брагин Григорий,193.0,96.0,59,м,сантехник,101000,0,0,0
Никонов Макар,171.0,71.38074499154582,74,м,инженер,361000,0,1,0
Петров Арсентий,179.0,103.0,22,м,продавец,40000,0,0,0
Зыков Наум,173.0,75.0,50,м,автослесарь,279000,0,0,1
Кондратьев Влад,180.0,97.0,62,м,автослесарь,75000,0,0,0
Емельянов Михаил,192.0,66.0,88,м,бухгалтер,471000,0,0,0
Герасимов Борис,181.0,90.0,79,м,преподаватель,488000,0,0,0
Фомин Давыд,185.0,116.0,60,м,автослесарь,413000,0,0,0
Попов Глеб,166.0,51.0,19,м,преподаватель,32000,0,0,2
Мартынов Валерий,179.0,105.0,46,м,врач,151000,0,0,2
Рогов Трофим,181.0,69.0,79,м,преподаватель,37000,0,0,0
Воронцов Леонтий,194.0,91.0,35,м,продавец,297000,0,0,1
Федотов Наум,187.0,109.0,43,м,врач,42000,0,0,0
Устинов Богдан,187.0,54.0,70,м,автослесарь,454000,0,0,0
Голубев Радий,183.0,62.0,61,м,бухгалтер,331000,0,0,0
Власов Бенедикт,177.0,98.0,33,м,автослесарь,409000,0,0,0
Юдин Анатолий,191.0,51.0,47,м,автослесарь,423000,0,0,0
Давыдов Захар,188.0,91.0,41,м,продавец,444000,0,0,0
Гущин Иван,175.0,56.0,50,м,преподаватель,101000,0,0,2
Игнатов Серафим,176.0,107.0,29,м,бухгалтер,183000,0,0,0
Тарасов Касьян,191.0,87.0,27,м,сантехник,452000,0,0,0
Громов Потап,184.0,84.0,80,м,студент,15000,0,0,0
Муравьёв Даниил,165.0,60.0,78,м,преподаватель,333000,0,0,0
Селиверстов Филат,172.0,113.0,23,м,бухгалтер,96000,0,0,0
Федотов Радомир,168.0,109.0,46,м,продавец,428000,0,0,0
Сысоев Святослав,175.0,56.0,26,м,бухгалтер,133000,0,0,0
Шилов Евгений,176.0,71.38074499154582,35,м,сантехник,334000,0,1,0
Блохин Григорий,186.0,98.0,58,м,врач,108000,0,0,0
Семёнов Ефрем,182.0,57.0,76,м,программист,226000,0,0,0
Воронцов Чарли,166.0,104.0,48,м,бухгалтер,362000,0,0,0
Беспалов Василий,188.0,97.0,29,м,врач,480000,0,0,0
Стрелков Тарас,165.0,51.0,70,м,преподаватель,184000,0,0,1
Воронов Арсентий,185.0,113.0,73,м,преподаватель,419000,0,0,2
Копылов Виссарион,184.0,72.0,81,м,сантехник,138000,0,0,0
Моисеев Мирон,174.52731681034481,91.0,21,м,инженер,49000,1,0,0
Поляков Данислав,172.0,66.0,27,м,продавец,152000,0,0,1
Яковлев Герасим,172.0,95.0,58,м,инженер,19000,0,0,0
Потапов Ждан,189.0,114.0,61,м,сантехник,181000,0,0,0
Титов Тимур,175.0,86.0,23,м,сантехник,495000,0,0,0
Рябов Тихон,190.0,66.0,88,м,инженер,139000,0,0,1
Костин Серафим,175.0,73.0,48,м,программист,426000,0,0,0
Сидоров Юлий,185.0,59.0,42,м,врач,343000,0,0,1
Быков Анатолий,174.52731681034481,91.0,41,м,преподаватель,242000,1,0,0
Пестов Виталий,177.0,79.0,33,м,преподаватель,344000,0,0,0
Смирнов Иван,179.0,117.0,21,м,бухгалтер,217000,0,0,0
Калинин Вилен,179.0,88.0,64,м,программист,108000,0,0,0
Кабанов Данила,177.0,69.0,73,м,врач,382000,0,0,0
Никитин Ринат,174.52731681034481,59.0,28,м,врач,314000,1,0,0
Харитонов Никанор,183.0,71.38074499154582,71,м,преподаватель,100000,0,1,1
Сысоев Тимур,194.0,55.0,33,м,студент,400000,0,0,0
Казаков Артур,187.0,105.0,25,м,автослесарь,279000,0,0,1
Павлов Данислав,171.0,73.0,54,м,бухгалтер,227000,0,0,1
Вишняков Эрик,181.0,94.0,39,м,преподаватель,305000,0,0,0
Карпов Даниил,173.0,118.0,41,м,продавец,113000,0,0,0
Большаков Юрий,173.0,86.0,51,м,программист,394000,0,0,1
Беспалов Арсентий,192.0,71.38074499154582,53,м,студент,58000,0,1,0
Громов Лукьян,178.0,68.0,43,м,инженер,93000,0,0,0
Бобров Бенедикт,188.0,113.0,60,м,продавец,354000,0,0,0
Корнилов Максим,191.0,71.0,26,м,инженер,207000,0,0,0
Медведев Юрий,183.0,69.0,69,м,сантехник,409000,0,0,0
Кузьмин Руслан,178.0,63.0,72,м,преподаватель,64000,0,0,0
Копылов Владлен,191.0,71.38074499154582,83,м,автослесарь,245000,0,1,1
Зыков Кузьма,174.0,84.0,88,м,продавец,399000,0,0,1
Авдеев Виталий,168.0,63.0,30,м,студент,47000,0,0,2
Голубев Виктор,193.0,71.38074499154582,40,м,программист,318000,0,1,1
Юдин Илья,187.0,112.0,88,м,бухгалтер,354000,0,0,1
Михайлов Радий,177.0,116.0,27,м,программист,110000,0,0,0
Никонов Борислав,176.0,107.0,44,м,врач,175000,0,0,0
Лихачёв Авраам,177.0,68.0,78,м,инженер,301000,0,0,0
Тарасов Игнат,177.0,109.0,71,м,студент,212000,0,0,0
Зимин Трофим,169.0,116.0,21,м,инженер,71000,0,0,0
Пономарёв Самсон,191.0,105.0,70,м,программист,169000,0,0,1
Афанасьев Еремей,176.0,83.0,49,м,преподаватель,423000,0,0,0
Панов Артём,190.0,109.0,32,м,бухгалтер,147000,0,0,0
Ефимов Добрыня,180.0,104.0,80,м,бухгалтер,174000,0,0,0
Емельянов Святослав,193.0,117.0,23,м,бухгалтер,379000,0,0,0
Емельянов Сергей,182.0,61.0,47,м,бухгалтер,416000,0,0,1
Фомичёв Яков,183.0,93.0,46,м,программист,196000,0,0,0
Попов Август,185.0,66.0,36,м,студент,247000,0,0,1
Дорофеев Илларион,192.0,82.0,44,м,врач,200000,0,0,0
Носков Виктор,174.0,67.0,89,м,бухгалтер,144000,0,0,0
Журавлёв Касьян,171.0,69.0,41,м,преподаватель,319000,0,0,0
Давыдов Елисей,185.0,76.0,19,м,продавец,217000,0,0,0
Егоров Еремей,169.0,117.0,58,м,продавец,437000,0,0,0
Шубин Борислав,185.0,89.0,39,м,сантехник,235000,0,0,0
Пономарёв Трофим,174.0,85.0,78,м,студент,298000,0,0,0
Исаков Кир,171.0,59.0,59,м,инженер,259000,0,0,0
Кулагин Николай,187.0,74.0,75,м,инженер,298000,0,0,1
Самсонов Савелий,171.0,91.0,36,м,продавец,37000,0,0,0
Устинов Никанор,183.0,76.0,89,м,автослесарь,385000,0,0,1
Хохлов Альберт,191.0,75.0,22,м,преподаватель,220000,0,0,1
Лапин Григорий,175.0,83.0,53,м,программист,129000,0,0,0
Беляев Ярослав,179.0,71.38074499154582,79,м,сантехник,438000,0,1,2
Пестов Виктор,190.0,113.0,30,м,программист,425000,0,0,1
Мухин Вячеслав,190.0,77.0,62,м,сантехник,293000,0,0,0
Воронцов Сергей,170.0,95.0,60,м,инженер,403000,0,0,0
Михеев Фаддей,179.0,53.0,85,м,студент,159000,0,0,0
Молчанов Андрей,194.0,64.0,23,м,студент,52000,0,0,0
Мясников Еремей,169.0,68.0,37,м,программист,400000,0,0,0
Афанасьев Анисий,175.0,75.0,67,м,программист,225000,0,0,0
Лазарев Трофим,184.0,60.0,42,м,бухгалтер,289000,0,0,0
Морозов Виссарион,186.0,72.0,30,м,сантехник,175000,0,0,0
Ильин Тимур,171.0,95.0,21,м,инженер,130000,0,0,0
Туров Тихон,174.0,71.38074499154582,71,м,врач,343000,0,1,0
Петухов Аполлон,167.0,80.0,61,м,преподаватель,338000,0,0,0
Федотов Ждан,169.0,67.0,37,м,бухгалтер,41000,0,0,1
Рожков Савва,169.0,95.0,33,м,инженер,171000,0,0,0
Самсонов Радий,174.52731681034481,104.0,33,м,продавец,338000,1,0,1
Гуляев Егорий,178.0,50.0,65,м,программист,462000,0,0,1
Шашков Гордей,179.0,98.0,54,м,автослесарь,289000,0,0,0
Абрамов Александр,165.0,76.0,50,м,программист,59000,0,0,1
Исаев Назар,172.0,98.0,44,м,студент,206000,0,0,0
Ситников Радик,184.0,104.0,37,м,программист,427000,0,0,0
Макаров Арсен,174.0,83.0,25,м,автослесарь,394000,0,0,0
Ершов Павел,183.0,106.0,32,м,студент,279000,0,0,0
Миронов Илья,186.0,51.0,59,м,сантехник,42000,0,0,1
Горбунов Валерий,179.0,88.0,80,м,врач,106000,0,0,0
Соловьёв Тимофей,172.0,78.0,87,м,бухгалтер,209000,0,0,0
Максимов Демид,175.0,100.0,27,м,бухгалтер,413000,0,0,0
Зуев Август,178.0,119.0,62,м,бухгалтер,20000,0,0,2
Сазонов Матвей,172.0,64.0,53,м,врач,273000,0,0,1
Брагин Моисей,194.0,65.0,41,м,продавец,95000,0,0,0
Ларионов Ярослав,177.0,53.0,26,м,бухгалтер,196000,0,0,0
Зимин Ждан,192.0,112.0,72,м,сантехник,481000,0,0,1
Степанов Тимофей,177.0,71.38074499154582,35,м,программист,219000,0,1,1
Сафонов Борис,181.0,116.0,73,м,сантехник,24000,0,0,0
Родионов Диомид,174.52731681034481,58.0,47,м,бухгалтер,468000,1,0,0
Миронов Виссарион,191.0,89.0,86,м,студент,39000,0,0,1
Громов Егорий,194.0,70.0,71,м,инженер,57000,0,0,0
Волков Самсон,171.0,116.0,29,м,врач,49000,0,0,1
Попов Касьян,181.0,64.0,33,м,преподаватель,422000,0,0,1
Тетерин Игнат,190.0,71.38074499154582,37,м,программист,96000,0,1,0
Петров Емельян,182.0,52.0,45,м,студент,379000,0,0,0
Рогов Назар,191.0,62.0,71,м,преподаватель,393000,0,0,0
Одинцов Вадим,168.0,58.0,87,м,программист,83000,0,0,0
Колесников Роман,165.0,59.0,28,м,автослесарь,291000,0,0,0
Кондратьев Кондрат,178.0,112.0,34,м,преподаватель,10000,0,0,0
Андреев Фома,191.0,87.0,52,м,инженер,197000,0,0,1
Мамонтов Наум,167.0,91.0,33,м,сантехник,353000,0,0,1
Мельников Клим,172.0,93.0,82,м,автослесарь,55000,0,0,0
Потапов Игнат,192.0,53.0,59,м,программист,363000,0,0,0
Блинов Демид,181.0,77.0,50,м,продавец,219000,0,0,0
Морозов Радослав,171.0,88.0,75,м,инженер,150000,0,0,0
Ефремов Эдуард,194.0,76.0,77,м,бухгалтер,258000,0,0,0
Мельников Дамир,174.52731681034481,116.0,69,м,программист,211000,1,0,0
Пестов Василий,172.0,70.0,70,м,бухгалтер,171000,0,0,0
Моисеев Марк,181.0,71.38074499154582,83,м,бухгалтер,454000,0,1,2
Фадеев Еремей,174.0,51.0,81,м,программист,359000,0,0,0
Шашков Антоний,175.0,110.0,56,м,продавец,442000,0,0,0
Цветков Потап,176.0,112.0,78,м,инженер,47000,0,0,0
Воронцов Анатолий,189.0,67.0,54,м,бухгалтер,144000,0,0,0
Беспалов Евстахий,175.0,70.0,66,м,врач,119000,0,0,0
Савельев Бронислав,172.0,87.0,79,м,врач,152000,0,0,0
Воронцов Антоний,169.0,91.0,66,м,сантехник,91000,0,0,0
Лукин Данил,185.0,55.0,25,м,продавец,38000,0,0,0
Лобанов Виссарион,175.0,112.0,54,м,сантехник,197000,0,0,0
Мышкин Виталий,177.0,65.0,30,м,сантехник,178000,0,0,0
Давыдов Ярослав,166.0,107.0,48,м,бухгалтер,330000,0,0,0
Беляев Артемий,170.0,79.0,51,м,врач,338000,0,0,0
Котов Никон,192.0,79.0,34,м,автослесарь,291000,0,0,0
Быков Ефрем,166.0,89.0,84,м,продавец,110000,0,0,1
Беляков Василий,169.0,71.38074499154582,67,м,продавец,172000,0,1,0
Виноградов Павел,178.0,55.0,60,м,преподаватель,454000,0,0,0
Селиверстов Яромир,184.0,91.0,49,м,инженер,41000,0,0,0
Фролов Мирослав,172.0,78.0,84,м,продавец,441000,0,0,0
Сазонов Даниил,174.52731681034481,117.0,41,м,автослесарь,373000,1,0,0
Рогов Георгий,169.0,115.0,81,м,сантехник,388000,0,0,0
Лихачёв Никанор,168.0,81.0,33,м,преподаватель,232000,0,0,0
Евдокимов Ростислав,172.0,112.0,23,м,врач,288000,0,0,2
Сергеев Макарий,183.0,64.0,48,м,продавец,308000,0,0,1
Ильин Радомир,182.0,107.0,31,м,бухгалтер,213000,0,0,0
Цветков Мартын,170.0,98.0,28,м,врач,40000,0,0,1
Захаров Добрыня,166.0,93.0,56,м,врач,209000,0,0,0
Зимин Филат,175.0,67.0,72,м,инженер,103000,0,0,0
Меркушев Игнатий,168.0,71.38074499154582,50,м,автослесарь,33000,0,1,0
Муравьёв Михаил,178.0,86.0,51,м,продавец,452000,0,0,0
Шаров Климент,194.0,91.0,68,м,студент,55000,0,0,0
Ларионов Вячеслав,175.0,57.0,45,м,автослесарь,276000,0,0,1
Жуков Ефрем,170.0,70.0,48,м,бухгалтер,81000,0,0,0
Фокин Никодим,182.0,71.38074499154582,87,м,продавец,483000,0,1,0
Андреев Димитрий,178.0,117.0,40,м,врач,359000,0,0,0
Панфилов Тарас,187.0,119.0,19,м,программист,127000,0,0,0
Егоров Игнат,179.0,57.0,59,м,автослесарь,149000,0,0,0
Андреев Флор,192.0,87.0,56,м,автослесарь,251000,0,0,0
Афанасьев Диомид,183.0,67.0,30,м,автослесарь,120000,0,0,0
Прохоров Севастьян,171.0,59.0,37,м,сантехник,119000,0,0,0
Терентьев Августин,192.0,118.0,18,м,продавец,17000,0,0,0
Гаврилов Демьян,193.0,105.0,70,м,продавец,344000,0,0,0
Комиссаров Наум,190.0,96.0,79,м,сантехник,252000,0,0,1
Карпов Георгий,189.0,71.38074499154582,47,м,инженер,156000,0,1,0
Русаков Альберт,167.0,106.0,66,м,преподаватель,194000,0,0,0
Пестов Матвей,170.0,73.0,56,м,врач,338000,0,0,0
Воробьёв Влад,193.0,77.0,76,м,студент,398000,0,0,0
Семёнов Викентий,184.0,89.0,70,м,программист,99000,0,0,1
Самойлов Владлен,185.0,71.38074499154582,86,м,программист,457000,0,1,1
Данилов Аким,188.0,102.0,28,м,сантехник,321000,0,0,0
Артемьев Демид,171.0,108.0,34,м,врач,305000,0,0,0
Титов Гавриил,174.0,116.0,33,м,сантехник,16000,0,0,0
Зиновьев Влад,174.52731681034481,112.0,69,м,инженер,71000,1,0,0
Ковалёв Никита,193.0,90.0,62,м,бухгалтер,338000,0,0,0
Самойлов Вольдемар,191.0,73.0,62,м,сантехник,466000,0,0,0
Жданов Юлиан,168.0,111.0,67,м,сантехник,259000,0,0,1
Одинцов Иероним,168.0,87.0,21,м,врач,357000,0,0,0
Пономарёв Дамир,176.0,57.0,78,м,автослесарь,59000,0,0,0
Андреев Тихон,171.0,86.0,73,м,программист,248000,0,0,0
Киселёв Мирон,182.0,93.0,42,м,бухгалтер,426000,0,0,0
Богданов Евгений,189.0,66.0,39,м,врач,321000,0,0,1
Соболев Яромир,183.0,75.0,68,м,бухгалтер,210000,0,0,0
Лапин Августин,193.0,108.0,69,м,врач,143000,0,0,0
Корнилов Ренат,174.52731681034481,59.0,67,м,программист,119000,1,0,1
Блохин Иеремия,171.0,94.0,39,м,врач,484000,0,0,1
Тимофеев Арсений,183.0,73.0,21,м,бухгалтер,115000,0,0,2
Евдокимов Демид,186.0,80.0,52,м,автослесарь,207000,0,0,0
Федосеев Юрий,166.0,93.0,62,м,инженер,304000,0,0,0
Шашков Мартин,187.0,64.0,83,м,продавец,499000,0,0,0
Устинов Иероним,175.0,86.0,46,м,сантехник,455000,0,0,0
Архипов Алексей,177.0,79.0,66,м,сантехник,353000,0,0,0
Русаков Иеремия,174.0,53.0,69,м,инженер,286000,0,0,0
Сергеев Семён,194.0,73.0,33,м,инженер,98000,0,0,0
Бобылёв Никита,165.0,93.0,60,м,студент,465000,0,0,0
Маслов Никита,180.0,68.0,82,м,врач,142000,0,0,0
Сафонов Виталий,167.0,64.0,34,м,врач,42000,0,0,0
Дроздов Трофим,165.0,61.0,39,м,бухгалтер,253000,0,0,0
Фадеев Олег,182.0,112.0,29,м,сантехник,417000,0,0,0
Бобров Станислав,178.0,119.0,66,м,программист,182000,0,0,1
Тарасов Валентин,172.0,70.0,42,м,продавец,464000,0,0,0
Кабанов Иосиф,186.0,71.38074499154582,64,м,студент,72000,0,1,1
Кулагин Радий,192.0,58.0,35,м,бухгалтер,139000,0,0,0
Ширяев Демьян,174.52731681034481,94.0,85,м,врач,61000,1,0,1
Макаров Герасим,172.0,102.0,51,м,сантехник,281000,0,0,0
Доронин Леонтий,168.0,95.0,48,м,инженер,492000,0,0,3
Никитин Август,186.0,119.0,30,м,продавец,89000,0,0,0
Соловьёв Андрей,174.52731681034481,81.0,32,м,врач,446000,1,0,1
Кузнецов Лукьян,192.0,64.0,29,м,студент,205000,0,0,0
Давыдов Сергей,190.0,108.0,54,м,продавец,277000,0,0,0
Рыбаков Аркадий,194.0,91.0,54,м,сантехник,423000,0,0,0
Молчанов Евстахий,189.0,71.38074499154582,42,м,продавец,197000,0,1,2
Романов Евгений,166.0,89.0,32,м,программист,85000,0,0,0
Богданов Моисей,177.0,54.0,83,м,продавец,177000,0,0,1
Мамонтов Виталий,173.0,94.0,27,м,автослесарь,172000,0,0,0
Рыбаков Виссарион,168.0,71.38074499154582,58,м,инженер,314000,0,1,1
Шаров Филат,193.0,88.0,33,м,сантехник,33000,0,0,2
Филатов Казимир,187.0,74.0,89,м,студент,281000,0,0,0
Ефимов Семен,181.0,55.0,22,м,автослесарь,290000,0,0,1
Лебедев Наум,186.0,57.0,57,м,врач,18000,0,0,0
Семёнов Севастьян,187.0,107.0,78,м,инженер,282000,0,0,0
Кириллов Всеволод,183.0,96.0,46,м,преподаватель,423000,0,0,0
Евдокимов Бенедикт,174.52731681034481,65.0,35,м,автослесарь,370000,1,0,0
Третьяков Тимофей,187.0,73.0,48,м,врач,340000,0,0,1
Комаров Агафон,174.52731681034481,71.38074499154582,20,м,преподаватель,450000,1,1,0
Киселёв Кир,168.0,77.0,60,м,продавец,40000,0,0,0
Казаков Семен,168.0,65.0,47,м,студент,324000,0,0,0
Силин Дмитрий,165.0,88.0,63,м,программист,162000,0,0,0
Петров Данил,190.0,75.0,56,м,сантехник,147000,0,0,1
Белозёров Демид,188.0,58.0,61,м,продавец,133000,0,0,0
Рожков Владимир,189.0,100.0,78,м,инженер,340000,0,0,0
Богданов Дмитрий,169.0,51.0,30,м,программист,256000,0,0,0
Степанов Кузьма,192.0,59.0,61,м,студент,94000,0,0,0
Белозёров Бенедикт,187.0,109.0,73,м,врач,358000,0,0,2
Лазарев Демьян,194.0,66.0,84,м,преподаватель,27000,0,0,0
Кулагин Бенедикт,169.0,51.0,38,м,студент,142000,0,0,0
Пестов Никифор,191.0,54.0,53,м,преподаватель,54000,0,0,0
Миронов Владислав,174.52731681034481,80.0,42,м,врач,309000,1,0,0
Моисеев Никифор,189.0,119.0,52,м,студент,72000,0,0,1
Давыдов Самсон,177.0,108.0,51,м,инженер,484000,0,0,1
Третьяков Радий,177.0,110.0,75,м,студент,475000,0,0,1
Лебедев Николай,181.0,92.0,54,м,сантехник,110000,0,0,0
Артемьев Артур,167.0,51.0,81,м,продавец,234000,0,0,1
Ковалёв Юлий,182.0,101.0,70,м,студент,274000,0,0,2
Одинцов Радомир,191.0,81.0,75,м,программист,488000,0,0,0
Беляков Феликс,166.0,59.0,64,м,инженер,84000,0,0,0
Колесников Парамон,178.0,114.0,67,м,программист,273000,0,0,1
Карпов Назар,175.0,71.38074499154582,53,м,студент,482000,0,1,0
Куликов Фёдор,192.0,117.0,40,м,студент,198000,0,0,0
Богданов Фёдор,194.0,71.38074499154582,71,м,бухгалтер,455000,0,1,1
Сазонов Матвей,176.0,69.0,58,м,инженер,68000,0,0,1
Буров Демьян,192.0,50.0,26,м,сантехник,253000,0,0,2
Прохоров Митрофан,193.0,71.0,42,м,студент,87000,0,0,2
Борисов Осип,169.0,50.0,87,м,программист,215000,0,0,0
Быков Валерий,170.0,94.0,35,м,сантехник,120000,0,0,0
Королёв Мирон,181.0,112.0,60,м,инженер,331000,0,0,1
Савин Сергей,179.0,99.0,20,м,врач,332000,0,0,0
Горбунов Пётр,175.0,68.0,72,м,преподаватель,481000,0,0,1
Макаров Назар,178.0,55.0,81,м,инженер,266000,0,0,0
Лыткин Станислав,187.0,79.0,34,м,продавец,213000,0,0,2
Дроздов Севастьян,176.0,62.0,85,м,программист,266000,0,0,1
Исаев Севастьян,187.0,65.0,83,м,сантехник,499000,0,0,0
Давыдов Леонид,183.0,106.0,58,м,сантехник,258000,0,0,0
Блохин Андрей,169.0,104.0,72,м,продавец,247000,0,0,0
Кузьмин Виталий,184.0,73.0,81,м,преподаватель,393000,0,0,1
Куликов Касьян,178.0,119.0,26,м,бухгалтер,223000,0,0,0
Новиков Зорийй,193.0,53.0,69,м,бухгалтер,286000,0,0,0
Жуков Мирослав,172.0,79.0,89,м,преподаватель,308000,0,0,1
Ширяев Сидор,174.52731681034481,112.0,48,м,сантехник,363000,1,0,0
Наумов Святослав,167.0,71.38074499154582,56,м,бухгалтер,307000,0,1,0
Веселов Сидор,182.0,71.38074499154582,72,м,студент,430000,0,1,0
Дементьев Роман,184.0,84.0,61,м,бухгалтер,299000,0,0,1
Панов Андрей,185.0,93.0,87,м,бухгалтер,434000,0,0,0
Степанов Вениамин,184.0,61.0,23,м,бухгалтер,356000,0,0,2
Максимов Григорий,178.0,103.0,60,м,автослесарь,472000,0,0,0
Сергеев Бенедикт,180.0,65.0,20,м,программист,127000,0,0,0
Сафонов Николай,165.0,118.0,39,м,бухгалтер,236000,0,0,2
Корнилов Никита,178.0,54.0,39,м,продавец,487000,0,0,0
Шаров Роман,190.0,80.0,81,м,инженер,164000,0,0,1
Егоров Платон,173.0,99.0,67,м,сантехник,182000,0,0,0
